Date,Open,High,Low,Close,AdjClose,Volume
2010-11-01,1.462667,2.400000,1.403333,2.355333,2.355333,424726500
2010-12-01,2.391333,2.428000,1.666667,1.775333,1.775333,553393500
2011-01-01,1.789333,1.914000,1.491333,1.606667,1.606667,426301500
2011-02-01,1.620667,1.699333,1.407333,1.592667,1.592667,439552500
2011-03-01,1.603333,1.914000,1.451333,1.850000,1.850000,488449500
2011-04-01,1.830000,1.878667,1.613333,1.840000,1.840000,448423500
2011-05-01,1.840000,2.018667,1.701333,2.009333,2.009333,455232000
2011-06-01,2.000000,2.100000,1.700000,1.942000,1.942000,595909500
2011-07-01,1.938000,2.029333,1.775333,1.878000,1.878000,316531500
2011-08-01,1.911333,1.946667,1.433333,1.649333,1.649333,408235500
2011-09-01,1.644000,1.799333,1.486000,1.626000,1.626000,270322500
2011-10-01,1.663333,2.000000,1.528667,1.958000,1.958000,324939000
2011-11-01,1.892667,2.333333,1.866667,2.182667,2.182667,387702000
2011-12-01,2.171333,2.333333,1.735333,1.904000,1.904000,316927500
2012-01-01,1.929333,2.000000,1.509333,1.938000,1.938000,384148500
2012-02-01,1.938000,2.331333,1.933333,2.227333,2.227333,347904000
2012-03-01,2.234000,2.663333,2.174667,2.482667,2.482667,332452500
2012-04-01,2.488667,2.564667,2.066667,2.208667,2.208667,341293500
2012-05-01,2.208667,2.312000,1.788667,1.966667,1.966667,512779500
2012-06-01,1.902000,2.300000,1.807333,2.086000,2.086000,391906500
2012-07-01,2.090000,2.400000,1.814000,1.828000,1.828000,488151000
2012-08-01,1.866000,2.086667,1.701333,1.901333,1.901333,367231500
2012-09-01,1.901333,2.185333,1.820000,1.952000,1.952000,499426500
2012-10-01,1.966667,2.006667,1.790667,1.875333,1.875333,264313500
2012-11-01,1.883333,2.286000,1.880000,2.254667,2.254667,356413500
2012-12-01,2.259333,2.386667,2.183333,2.258000,2.258000,325714500
2013-01-01,2.333333,2.580667,2.140667,2.500667,2.500667,426969000
2013-02-01,2.544667,2.666667,2.253333,2.322000,2.322000,663840000
2013-03-01,2.333333,2.632667,2.283333,2.526000,2.526000,444825000
2013-04-01,2.824000,3.878667,2.680667,3.599333,3.599333,1223221500
2013-05-01,3.732667,7.660000,3.533333,6.517333,6.517333,4968313500
2013-06-01,6.508000,7.350000,5.883333,7.157333,7.157333,2686720500
2013-07-01,7.290667,9.166000,6.966667,8.952000,8.952000,3442923000
2013-08-01,9.000000,11.533333,8.824000,11.266667,11.266667,3888999000
2013-09-01,11.560000,12.966667,10.567333,12.891333,12.891333,2568159000
2013-10-01,12.930667,12.948667,10.200000,10.662667,10.662667,3876822000
2013-11-01,10.866667,12.095333,7.740000,8.485333,8.485333,4625827500
2013-12-01,8.423333,10.533333,8.262000,10.028667,10.028667,2964568500
2014-01-01,9.986667,12.400000,9.111333,12.094000,12.094000,2758984500
2014-02-01,12.192667,17.666668,11.290667,16.320667,16.320667,3389311500
2014-03-01,15.817333,17.333332,13.533333,13.896667,13.896667,2500284000
2014-04-01,13.934667,15.715333,12.288000,13.859333,13.859333,2478117000
